nome-fantasia,esfera-administrativa,cep,logradouro,numero,bairro,telefone,latitude,longitude,turno-atendimento,centro-cirurgico,centro-obstetrico,centro-neonatal,atendimento-hospitalar,servico-apoio,atendimento-ambulatorial,ambulatorial-sus
HOFE SEG SAO VICENTE,MUNICIPAL,11340000,FREI GASPAR,2587,BEIRA MAR,13 88239212,-239.575.481.911,-464.025.163.651,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES SV,MUNICIPAL,11320160,ONZE DE JUNHO,291,BOA VISTA,13 34917540,-239.716.855.194,-463.727.545.738,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE REABILITACAO NEUROLOGICA MATHEUS ALVARES II SV,MUNICIPAL,11320120,RANGEL PESTANA,209,BOA VISTA,13 35913175,-239.694.601.205,-46.372.218.132,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
IACS PRESIDENTE WILSON SAO VICENTE,MUNICIPAL,11320001,AVENIDA PRESIDENTE WILSON,456,BOA VISTA,1332813000,-239.677.395,-463.481.869,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
EVOLUIR CLINICA NEURODESENVOLVIMENTO 2 SV,MUNICIPAL,11320120,RANGEL PESTANA,209,BOA VISTA,13 32332362,-239.707.155,-463.730.805,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ESF SA CATARINA SAO VICENTE,MUNICIPAL,11365330,RUA TRAVESSA DO PARQUE,S/N,CATIAPOA,1334663797,-23.957.364,-46.393.161,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE CATIAPOA SAO VICENTE,MUNICIPAL,11370300,AV PERSIO DE QUEIROZ FILHO,S/N,CATIAPOA,(13)34672887,-239.567.176.184,-463.873.311.661,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
APAE SAO VICENTE,MUNICIPAL,11390220,RUA FELICIANO MARCONDES DA SILVA,205,CATIAPOA,(13)34677828,-239.624.203,-463.820.005,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
EDUARDO PALMIERI,MUNICIPAL,11390200,AV MARTINS FONTES,480,CATIAPOA,34684645,-239.606.852,-464.067.146,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO ODONTOLOGICO MARILENE J ALVES SAO VICENTE,MUNICIPAL,11390360,RUA SALVADOR MALAQUIAS LEAL,88,CATIAPOA,1330186811,-239.564.426,-463.860.826,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RADICOM SAO VICENTE,MUNICIPAL,11310040,PADRE ANCHIETA,224,CENTRO,13 34811671,-239.682.150.567,-463.849.854.469,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,1150,CENTRO,1334662962,-23.963.294,-46.387.726,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CLINICA MULT IMAGEM SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,790,CENTRO,1332286700,-23.964.822,-46.386.613,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LEANDRO DE LIMA GIACCHERI SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMERICK,365,CENTRO,13988222244,-23.967.809,-46.385.047,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ALCYR NOGUEIRA LIMA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,931,CENTRO,,-23.964.591,-46.388.623,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RMIC IMAGENS DE DIAGNOSTICOS SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,637,CENTRO,1333711098,-23.966.127,-46.385.701,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CONSULTORIO DRA RENATA GUELLI SAO VICENTE,MUNICIPAL,11310400,RUA XV DE NOVEMBRO,576,CENTRO,1334673793,-23.963.755,-46.385.414,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,462,CENTRO,1335695700,-239.665.239.076,-463.838.911.057,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
FARMACIA PAGUE MENOS SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,706,CENTRO,1334664339,-239.682.455.033,-463.754.039.034,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MONICA BATALHA PRADO SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,1473,CENTRO,1334662803,-239.652.812.665,-463.821.235.299,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
TOXICOLOGICO SAO VICENTE,MUNICIPAL,11310000,BARAO DO RIO BRANCO,94,CENTRO,13 96933033,-23.966.440.575,-463.860.958.815,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
MAXI EXAMES,MUNICIPAL,11310070,R JACOB EMERICK,365,CENTRO,(13) 3467-9303,-239.671.768,-463.858.775,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
TAMARA MACHADO FRACALANZA BOCCATELLI,MUNICIPAL,11320010,AVENIDA QUINTINO BOCAIUVA,405,CENTRO,,-23.967.568.011,-463.846.850.395,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
INSTITUTO ORTOPEDICO ITARARE SAO VICENTE,MUNICIPAL,11320920,AV PRESIDENTE WILSON,1340,CENTRO,(13)34681550,-23.965.492,-46.380.825,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SERVICO DE PERICIAS MEDICAS SAO VICENTE,MUNICIPAL,11310010,RUA FREI GASPAR,637,CENTRO,(13)34677333,-23.966.083,-4.638.569,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CTA BETINHO SAO VICENTE,MUNICIPAL,11320010,AV QUINTINO BOCAIUVA,1261,CENTRO,(13)34698522,-23.967.086,-46.387.824,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
SECRETARIA DE SAUDE DE SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,462,CENTRO,(13)35695700,-23.966.264,-46.383.546,MANHA-TARDE,,,,,0.0,0.0,SIM
COMPLEXO DE ESPECIALIDADES MEDICAS SAO VICENTE,MUNICIPAL,11310400,RUA XV DE NOVEMBRO,176,CENTRO,(13)34650900,-239.670.484.113,-463.869.380.951,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
LABORATORIO DR SERGIO TAVOLARO PEREIRA SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,825,CENTRO,(13)34688696,-239.649.502.627,-463.855.295.034,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SAO PEDRO ANALISES CLINICAS SAO VICENTE,MUNICIPAL,11310420,RUA IPIRANGA,4,CENTRO,(13)34673124,,,TARDE,,,,,1.0,0.0,NAO
INSTITUTO OFTALMOLOGICO ACCIOLY DE GUSMAO SAO VICENTE,MUNICIPAL,11320060,RUA AMADOR BUENO DA RIBEIRA,68,CENTRO,13 35695555,-23.966.794,-46.377.159,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA PADRE ANCHIETA SAO VICENTE,MUNICIPAL,11320000,AV PRESIDENTE WILSON,1136,CENTRO,(13)34682829,-23.965.742,-46.379.113,MANHA-TARDE,1.0,0.0,0.0,1.0,1.0,1.0,NAO
CLINICA MEDICA DR JOSE MARTINS FONTES SAO VICENTE,MUNICIPAL,11310420,RUA IPIRANGA,S/N,CENTRO,(13)34684848,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE MEDICA SAO VICENTE SAO VICENTE,MUNICIPAL,11310420,RUA IPIRANGA,28,CENTRO,(13)34682861,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA SAO VICENTE RAMALHO DIAGNOSES SAO VICENTE,MUNICIPAL,11310421,RUA IPIRANGA,31,CENTRO,(13)34673526,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
HOSPITAL SAO JOSE SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,790,CENTRO,1330489488,-23.965.168,-46.386.657,24H,1.0,1.0,1.0,1.0,1.0,1.0,NAO
SAE CTA SERVICO DE ATENDIMENTO ESPECIALIZADO SAO VICENTE,MUNICIPAL,11320010,AV QUINTINO BOCAIUVA,1261,CENTRO,(13)35693500,-2.396.935,-46.383.804,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
MAXILABOR SAO VICENTE,MUNICIPAL,11310070,R JACOB EMERICK,365,CENTRO,1334679303,-239.682.703,-463.837.073,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
EDUARDO OREFICE SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,1334694909,-239.645.689,-463.833.532,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FARMACIA DE MANIPULACAO LEVEN SAO VICENTE,MUNICIPAL,11310071,R JACOB EMERICK,393,CENTRO,1333299800,-239.682.703,-463.837.073,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LASER PERUSSI SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,637,CENTRO,1334668609,-239.551.384,-464.069.904,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ORTHO DENTS SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,306,CENTRO,13996868038,-239.658.382,-46.383.568,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LABORATORIO PAULISTA SAO VICENTE,MUNICIPAL,11310421,RUA IPIRANGA,17,CENTRO,1333564011,-239.651.071,-463.874.308,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
FALCONERES DE ALMEIDA OFTALMOLOGIA E MEDICINA SV,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,1338770177,-239.631.703,-463.852.566,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
INSTITUTO SEGUMED UNIDADE SAO VICENTE,MUNICIPAL,11310400,FREI GASPAR,790,CENTRO,1334666323,-239.650.220.449,-463.864.726.161,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
OMEGA3 LABORATORIO DE ANALISES CLINICAS SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,299,CENTRO,1335795694,-239.681.374.648,-463.818.353,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CARLOS VILAR SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,34672310,-239.653.768.547,-463.820.296.526,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
VIVIANE AGUIAR YUMOTO FRIAS SAO VICENTE,MUNICIPAL,11310500,BENJAMIN CONSTANT,74,CENTRO,13 97217474,-239.635.386.461,-46.384.557.061,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MEDICA LIMA DIAS SAO VICENTE,MUNICIPAL,11320915,PRESIDENTE WILSON,1473,CENTRO,13 34693985,-239.653.204.822,-463.820.162.416,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ACADEMIA DE MEDICINA FISICA E REABILITACAO DE SAO VICENTE,MUNICIPAL,11310420,SAO VICENTE,62,CENTRO,,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ANTONIO E M CURADO SAO VICENTE,MUNICIPAL,11310061,R FREI GASPAR,86,CENTRO,,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA MEDICA BOA VISTA SAO VICENTE,MUNICIPAL,11310330,RUA TREZE DE MAIO,336,CENTRO,(13)34686421,-239.664.847,-463.901.835,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA RENASCER SAO VICENTE,MUNICIPAL,11310200,AV CAPITAO MOR AGUIAR,445,CENTRO,(13)34676133,-239.672.683.371,-46.391.927.261,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FOCUS CLINICA OFTAMOLOGICA SAO VICENTE,MUNICIPAL,11310040,RUA XV DE NOVEMBRO,576,CENTRO,(13)34695056,-23.965.002,-46.385.567,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LABORATORIO ANALISES MED DR JOSE RODRIGUES SAO VICENTE,MUNICIPAL,11310421,RUA IPIRANGA,321,CENTRO,(13)34683057,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CELSO DA SILVA NORONHA SAO VICENTE,MUNICIPAL,11320120,RUA FREI GASPAR,739,CENTRO,(13)34689587,-239.656.072.465,-463.865.947.723,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ROBERTO DI GIOVANNI VERGARA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,305,CENTRO,(13)34673042,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ROGERIA RITA DE CASSIA PALMA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,739,CENTRO,(13)34684853,-239.656.121.484,-463.867.074.251,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA DR ROGERIO CORSO SAO VICENTE,MUNICIPAL,11310071,JACOB EMERICK,365,CENTRO,13 34692127,-239.677.640.858,-463.851.356.506,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LOURDES APARECIDA NORONHA SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,(13)34683000,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DR MILTON FERREIRA SAO VICENTE,MUNICIPAL,11310010,AVENIDA PRESIDENTE WILSON,1473,CENTRO,34695151,-239.653.033.253,-463.822.683.692,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ANA PAULA VILLANI BORDA SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,795,CENTRO,34696121,-23.965.291,-46.387.222,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LILIAN GRELLET SAO VICENTE,MUNICIPAL,11310060,R FREI GASPAR,931,CENTRO,(13)34699156,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ANTONIO JOSE GOUVEIA SAO VICENTE,MUNICIPAL,11390010,AV PRESIDENTE WILSON,1473,CENTRO,(13)34694909,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIA CRISTINA CHIEFFI AAGAARD SAO VICENTE,MUNICIPAL,11390010,R FREI GASPAR,637,CENTRO,(13)94694397,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
GRAZIELA DE MELO RABELO FRAYHA SAO VICENTE,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,(13)34682928,-23.965.569,-46.386.701,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SANDRA MARA BARBOSA DOS SANTOS SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,(13)34687700,-23.965.412,-46.382.251,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
TERESA CRISTINA C FRABREGA DE CARVALHO SAO VICENTE,MUNICIPAL,11310040,R PADRE ANCHIETA,331,CENTRO,(13)34686267,-23.967.204,-46.384.594,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
GILMAR ALVES DE OLIVEIRA SAO VICENTE,MUNICIPAL,11340190,AV PREFEITO JOSE MONTEIRO,422,CENTRO,,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
IBV INSTITUTO BRASILEIRO DE VISAO SAO VICENTE,MUNICIPAL,11390010,RUA FREI GASPAR,739,CENTRO,(13)35691100,-23.965.656.266,-463.866.484.165,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
MAURITY RIBEIRO DE FREITAS SAO VICENTE,MUNICIPAL,11320915,AVENIDA PRESIDENTE WILSON,1473,CENTRO,(13)34682885,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
THAIS MARIA PEREZ LARANJA GONCALVES SAO VICENTE,MUNICIPAL,11310000,JOAO RAMALHO,630,CENTRO,(13)34663875,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FABIANA DO CARMO PELEGRINI SAO VICENTE,MUNICIPAL,11310060,FREI GASPAR,931,CENTRO,(13)30222745,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ORTOSERV SAO VICENTE,MUNICIPAL,11310000,PADRE ANCHIETA,331,CENTRO,(13)34686267,,,24H,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RENAULD TEOFILO BELLEGARD FILHO SAO VICENTE,MUNICIPAL,11310000,PADRE ANCHIETA,331,CENTRO,(13)32395151,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JEAN KHATER FILHO SAO VICENTE,MUNICIPAL,11310010,RUA MARTIM AFONSO,230,CENTRO,(13)34689696,-239.674.062.491,-463.859.456.778,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
OLGAIR TEREZINHA DO AMARAL BROD SAO VICENTE,MUNICIPAL,11320001,AVENIDA PRESIDENTE WILSON,1473,CENTRO,(13)34699148,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
SILVIA HELENA BOAVENTURA SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1147,CENTRO,13991360671,-2.396.257,-4.637.967,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SHEILA PROENCA DINIZ SAO VICENTE,MUNICIPAL,11320915,AV PRESIDENTE WILSON,1473,CENTRO,(13)34685337,-239.654.601.879,-463.821.879.029,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ELMA SOBRAL DE GOES SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,739,CENTRO,(13)34671705,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLAYTON TIMOTEO BUENO RAMOS SAO VICENTE,MUNICIPAL,11310070,RUA JACOB EMMERICH,379,CENTRO,(13)34682270,-23.967.653,-46.385.112,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARCELO HENRIQUE BRITO DOS SANTOS SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,931,CENTRO,(13)34683049,,,INTERMITENTES,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JULIO CESAR ALBINO SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,931,CENTRO,(13)34683049,,,INTERMITENTES,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JUREMA DA SILVA SAO VICENTE,MUNICIPAL,11310000,RUA FREI GASPAR,931,CENTRO,(13)34684943,-23.964.547,-46.388.612,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SIMONE CABRAL REBELO ASSUNCAO SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,931,CENTRO,(13)34672646,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JOSE GUSTAVO LOPES TAVARES SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMMERICH,365,CENTRO,(13)34664994,-23.967.755,-46.385.015,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ANTONIO JOSE ORSI FALLEIROS SAO VICENTE,MUNICIPAL,11310000,RUA IPIRANGA,333,CENTRO,(13)34671954,-239.646.905.788,-463.873.887.062,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ANA PAULA RODRIGUES FERNANDES SOUZA MARQUES SAO VICENTE,MUNICIPAL,11310080,FREI GASPAR,931,CENTRO,(13)35681549,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
VICENTINA PORTOLESI GONCALVES SAO VICENTE,MUNICIPAL,11310080,FREI GASPAR,739,CENTRO,(13)34673740,,,MANHA,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ALFREDO RECLUSA ILSE SAO VICENTE,MUNICIPAL,11310000,FREI GASPAR,739,CENTRO,(13)34673740,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JULIO CESAR MENDONCA PINHEIRO SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,(13)34686267,-239.654.405.801,-463.820.618.391,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
PAULO ROBERTO ALONSO CARNEIRO SAO VICENTE,MUNICIPAL,11310060,IPIRANGA,333,CENTRO,(13)34671954,-23.964.665,-46.387.425,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
RICARDO GONCALVES SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,739,CENTRO,(13)34673740,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
JOSE LUIZ SOARES MAGALHAES SAO VICENTE,MUNICIPAL,11310000,RUA IPIRANGA,333,CENTRO,(13)34671954,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CARLY ARIGON FELIPPI SAO VICENTE,MUNICIPAL,11310050,AV PRESIDENTE WILSON,1147,CENTRO,(13)30224947,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ROSEMARY MENDES FRANCISCO SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,(13)34693596,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
VERAS CLINICA MEDICA SAO VICENTE,MUNICIPAL,11310000,RUA IPIRANGA,333,CENTRO,(13)34671954,-239.646.436.428,-463.873.935.457,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CASSIUS MARCELLIUS CAMPOS BITTENCOURT SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1473,CENTRO,(13)34693799,-23.965.367,-4.638.224,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
GERSON ARANHA SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,739,CENTRO,(13)34683868,-23.965.625,-46.386.685,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
VIVIANA ZAPAROLLI DE OLIVEIRA MENEZES SAO VICENTE,MUNICIPAL,11310100,AV CAP MOR AGUIAR,658,CENTRO,(13)34671133,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DULCE MARIA OLIVEIRA SANTOS FREIRE SAO VICENTE,MUNICIPAL,11310080,RUA XV DE NOVEMBRO,260,CENTRO,(13)34693999,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
DENISE LIE MOLINA GROSSI SAO VICENTE,MUNICIPAL,11310020,AV CAPITAO MOR AGUIAR,658,CENTRO,(13)34671133,,,MANHA,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO TERAPEUTICO SAO VICENTE,MUNICIPAL,11310010,RUA MARTIM AFONSO,251,CENTRO,(13)34665969,-239.672.282,-463.857.822,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO MEDICO SAO LUIZ GONZAGA SC LTDA SAO VICENTE,MUNICIPAL,11310903,AV CAPITAO MOR AGUIAR,658,CENTRO,(13)34671133,-239.653.760.433,-463.914.110.187,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIA LUIZA MOURA SALES SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,931,CENTRO,34688798,-23.964.537,-46.388.633,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
HELVECIO SIQUEIRA SAO VICENTE,MUNICIPAL,11310100,RUA BENJAMIM CONSTANT,46,CENTRO,(13)34687126,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
EDISON GERALDO TAGLIETA SAO VICENTE,MUNICIPAL,11310100,RUA JOAO RAMALHO,1055,CENTRO,(13)34681001,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARCIA ROSSETTO SAO VICENTE,MUNICIPAL,11310500,BENJAMIN CONSTANT,61,CENTRO,(13)34686429,-23.963.693,-46.385.101,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
