nome-fantasia,esfera-administrativa,cep,logradouro,numero,bairro,telefone,latitude,longitude,turno-atendimento,centro-cirurgico,centro-obstetrico,centro-neonatal,atendimento-hospitalar,servico-apoio,atendimento-ambulatorial,ambulatorial-sus
DRIELEN CARVALHO S DE PAULA PSICOLOGA SV,MUNICIPAL,11370610,SAO CRISTOVAO,75,JARDIM PARAISO,13 96736478,-23.951.645.741,-463.825.714.588,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ESF RIO BRANCO II E III SAO VICENTE,MUNICIPAL,11347150,RUA EDUARDO CACAO,S/N,JARDIM RIO BRANCO,1335661188,-23.980.961,-46.473.008,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
ESF JARDIM RIO BRANCO SAO VICENTE,MUNICIPAL,11347020,RUA ANTONIO RISCALLE HUSNE,1760,JARDIM RIO BRANCO,1335662773,-239.793.252,-464.706.032,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PRONTO SOCORRO RIO BRANCO SAO VICENTE,MUNICIPAL,11347000,AV DEPUTADO ULISSES GUIMARAES,721,JARDIM RIO BRANCO,,-239.799.557,-464.732.449,24H,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CAPS II JARDIM RIO BRANCO CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPAL,11347040,RUA DONALD ALEXANDRE KEALMAN,S/N,JARDIM RIO BRANCO,1335767674,-239.809.524,-464.742.047,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE AT ESP SAUDE DA PESSOA COM DEF REABILITAR II SV,MUNICIPAL,11347000,AV DR ULISSES GUIMARAES,601,JARDIM RIO BRANCO,1335765804,-23.982.251,-46.470.455,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CEO III JD RIO BRANCO SAO VICENTE,MUNICIPAL,11347000,AV DEPUTADO ULISSES GUIMARAES,1431,JARDIM RIO BRANCO,1335661713,-239.832.739.581,-46.468.524.461,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
FARMA CONDE FILIAL 396 SV,MUNICIPAL,11347520,IRMA DOLORES,1005,JARDIM RIO BRANCO,12 39324721,-239.842.136.998,-464.625.656.605,MANHA-TARDE-NOITE,,,,,1.0,0.0,NAO
DROGARAIA LJ 1920 SV,MUNICIPAL,11347000,DEPUTADO ULISSES GUIMARAES,1607,JARDIM RIO BRANCO,11 37695731,-239.844.097.493,-464.669.752.121,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
WLADEMIR PATARO DE CASTRO SAO VICENTE,MUNICIPAL,11347000,AVENIDA DEPUTADO ULISSES GUIMARAES,1547,JARDIM RIO BRANCO,,-239.839.289.535,-464.674.982.745,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
E S F JARDIM RIO NEGRO,MUNICIPAL,11347430,RUA E,110,JARDIM RIO NEGRO,35668321,-23.985.097,-46.462.524,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
LUIZ ALBERTO RIBEIRO BRAS SAO VICENTE,MUNICIPAL,11370350,RUA FRANCISCO SILVA SANTOS,20,JD GUASSU,(13)34664248,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CAPS I CENTRO DE ATENCAO PSICOSSOCIAL INFANTIL SAO VICENTE,MUNICIPAL,11370540,RUA SANTO ANTONIO,64,JD GUASSU,1334669813,-2.395.249,-46.374.908,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
ODONTO SPECIALITTE SAO VICENTE,MUNICIPAL,11380510,RUA BERTA CRAVEIRO LOPES,36,JD INDEPENDENCIA,1335613842,-239.616.804,-463.746.192,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIERO RADIOLOGIA,MUNICIPAL,11380510,RUA BERTA CRAVEIROS LOPES,40,JD INDEPENDENCIA,1333243296,-23.963.159,-46.374.237,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UBIRAJARA DE MELLO JUNIOR SAO VICENTE,MUNICIPAL,11380510,RUA BERTA CRAVEIRO LOPES,36,JD INDEPENDENCIA,(13)35611430,-239.616.804,-463.746.192,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARYANE SASSI TELLES BAPTISTA SAO VICENTE,MUNICIPAL,11380001,AV PREFEITO JOSE MONTEIRO,577,JD INDEPENDENCIA,(13)30214984,-239.632.351,-463.750.358,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
TOPFISIO CLINICA DE FISIOTERAPIA LTDA SAO VICENTE,MUNICIPAL,11380000,AV PREFEITO JOSE MONTEIRO,844,JD INDEPENDENCIA,34698765,-239.653.011.511,-46.370.831.961,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
PRISCILLA KATHERINE DE CARVALHO,MUNICIPAL,11380001,AV PREFEITO JOSE MONTEIRO,765,JD INDEPENDENCIA,35612519,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE DE SAUDE DA MULHER DAVID CAPISTRANO SAO VICENTE,MUNICIPAL,11347725,RUA SALVADOR,60,JD IRMA DOLORES,1335765828,-23.980.172,-46.451.803,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PATRICIA DUARTE IGNACIO DE SOUZA SAO VICENTE,MUNICIPAL,11370570,RUA PROPRIA,114,JD PARAISO,13 30289291,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO MEDICO POPULAR DE SAO VICENTE,MUNICIPAL,11347000,AV DEPUTADO ULISSES GUIMARAES,1443,JD RIO BRANCO,1333290029,-23.983.278,-46.468.887,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
HOSPITAL DE CAMPANHA COVID 19 SV CONTINENTAL,MUNICIPAL,11347070,RUA JOSE FAGUNDES BEZERRA,S/N,JD RIO BRANCO,,-23.971.702,-46.477.487,24H,0.0,0.0,0.0,0.0,1.0,1.0,SIM
SAMU 192 SAO VICENTE 9,MUNICIPAL,11347000,AV ULISSES GUIMARAES,231,JD RIO BRANCO,1335760245,-23.976.426,-46.477.743,24H,,,,,0.0,0.0,NAO
SAMU 192 MOTOLANCIA 2 SAO VICENTE,MUNICIPAL,11347000,AV ULISSES GUIMARAES,231,JD RIO BRANCO,(13)3576-0245,-2.397.629,-46.477.574,24H,,,,,0.0,0.0,NAO
SAMU 192 MOTOLANCIA 1 SAO VICENTE,MUNICIPAL,11347000,AV ULISSES GUIMARAES,231,JD RIO BRANCO,(13)3576-0245,-2.397.629,-46.477.574,24H,,,,,0.0,0.0,NAO
SAMU 192 MOTOLANCIA 3 SAO VICENTE,MUNICIPAL,11347000,AV ULISSES GUIMARAES,231,JD RIO BRANCO,(13)3576-0245,-2.397.629,-46.477.574,24H,,,,,0.0,0.0,NAO
FARMACIA POPULAR DO BRASIL SAO VICENTE,MUNICIPAL,11347000,AV ULISSES GUIMARAES,791,JD RIO BRANCO,35767913,,,MANHA-TARDE,,,,,1.0,0.0,NAO
CLINICA MEDICA DRA MICHELE MELO SAO VICENTE,MUNICIPAL,11347000,AV DEPUTADO ULISSES GUIMARAES,1546,JD RIO BRANCO,(13) 35766823,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
SAMU 192 SAO VICENTE 2,MUNICIPAL,11347000,AV ULISSES GUIMARAES,231,JD RIO BRANCO,1335760245,-2.397.629,-46.477.574,24H,,,,,0.0,0.0,NAO
L A C SAUDE MAIS,MUNICIPAL,11347000,AV DEPUTADO ULISSES GUIMARAES,1671,JD RIO BRANCO,1335666482,-239.799.667,-464.732.385,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SAMU 192 SAO VICENTE 7,MUNICIPAL,11347000,AV ULISSES GUIMARAES,231,JD RIO BRANCO,1335760245,-23.976.383,-46.477.606,24H,,,,,0.0,0.0,NAO
UNIDADE BASICA DE SAUDE JIP SAO VICENTE,MUNICIPAL,11360190,RUA ROBERTO KOCH,584,JOQUEI CLUBE,(13)35663595,-23.941.528,-46.399.216,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE SAMBAIATUBA SAO VICENTE,MUNICIPAL,11365180,PRACA DOM BOSCO,S/N,JOQUEI CLUBE,1334638727,-23.945.412,-46.389.951,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CENTRO DE AT ESP A SAUDE DA CRIANCA COM DEF SAO CAMILO SV,MUNICIPAL,11350010,AV JOAO FRANCISCO BENSDORP,261,NAUTICA III,(13)34621170,-23.954.943,-46.410.414,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE PARQUE BITARU SAO VICENTE,MUNICIPAL,11330205,PRACA INFANTE DOM HENRIQUE,S/N,PARQUE BITARU,(13)34671757,-2.397.123,-46.394.617,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PRONTO SOCORRO CENTRAL SAO VICENTE,MUNICIPAL,11330800,AV MARECHAL CANDIDO MARIANO DA SILVA RONDON,425,PARQUE BITARU,1335695900,-239.620.385.785,-463.972.377.777,24H,0.0,0.0,0.0,0.0,1.0,0.0,SIM
FERNANDO LUIS MORETTI DA SILVA SAO VICENTE,MUNICIPAL,11330200,AV CAPITAO LUIZ ANTONIO PIMENTA,397,PARQUE BITARU,(13) 30218521,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
UNIDADE BASICA DE SAUDE PARQUE DAS BANDEIRAS SAO VICENTE,MUNICIPAL,11346005,PRACA DARIO AREDES LACERDA,70,PARQUE DAS BANDEIRAS,1335662163,-2.398.463.855,-46.484.841.474,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
ACADEMIA DA SAUDE PARQUE SAO VICENTE,MUNICIPAL,11360240,PRACA DOM PEDRO I,S/N,PARQUE SAO VICENTE,13997245295,-239.521.306.746,-46.398.146.903,MANHA-TARDE,,,,,1.0,0.0,NAO
VIANNA MEDICINA ESPECIALIZADA SAO VICENTE,MUNICIPAL,11360000,RUA GUARANY,314,PARQUE SAO VICENTE,1335681462,-239.508.024,-463.969.633,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE BASICA DE SAUDE PARQUE SAO VICENTE SAO VICENTE,MUNICIPAL,11360240,PRACA DOM PEDRO I,S/N,PARQUE SAO VICENTE,1334641565,-23.952.042,-46.398.168,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
INSTITUTO ADESAF SAO VICENTE,MUNICIPAL,11360000,GUARANY,70,PARQUE SAO VICENTE,13 35684191,-239.590.420.419,-463.977.595.184,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CRUZ AZUL DE SAO PAULO AMBULATORIO SAO VICENTE,MUNICIPAL,11360040,PRACA RUI BARBOSA,238,PARQUE SAO VICENTE,(13) 34655500,-2.395.544.765,-4.639.883.165,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
FABIULA MARTINS LOURENCO SAO VICENTE,MUNICIPAL,11340000,RUA FREI GASPAR,2160,PARQUE SAO VICENTE,34662366,-239.592.738.479,-463.985.111.612,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
UNIDADE BASICA DE SAUDE POMPEBA SAO VICENTE,MUNICIPAL,11355150,RUA ANTONIO DA COSTA,S/N,POMPEBA,1334641815,-239.402.078.344,-464.058.791.618,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE PONTE NOVA SAO VICENTE,MUNICIPAL,11347725,RUA SALVADOR,70,PONTE NOVA,1335661155,-239.799.098.604,-464.525.552.274,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
FLAVIA REGINA MARTINS DE OLIVEIRA SAO VICENTE,MUNICIPAL,11310070,R JACOB EMERICK,1398,PQ BITARU,34676962,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ESF CONTINENTAL SAO VICENTE,MUNICIPAL,11348000,AV CENTRAL,940,PQ CONTINENTAL,1335641424,-239.550.938,-464.586.081,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
E S F GLEBA II,MUNICIPAL,11346250,AV DR CELSO SANTOS,510,PQ DAS BANDEIRAS,1335662456,-23.981.971,-46.489.672,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PRONTO ATENDIMENTO PARQUE DAS BANDEIRAS SAO VICENTE,MUNICIPAL,11346000,AV ESMERALDO SOARES TARQUINO DE CAMPOS,S/N,PRQ DAS BANDEIRAS,(13)35661305,-239.850.420.069,-464.845.812.321,24H,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE SAMARITA SAO VICENTE,MUNICIPAL,11345050,RUA SERGIPE,70,SAMARITA,1335661544,-23.991.082,-46.477.362,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CDP LUIS CESAR LACERDA DE SAO VICENTE,ESTADUAL,11346300,RODOVIA PADRE MANOEL DA NOBREGA,S/N,SAMARITA,(13) 3576-9890,-23.937.453,-464.641.942,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PENITENCIARIA I DR GERALDO DE ANDRADE VIEIRA DE SAO VICENTE,ESTADUAL,11348900,RODOVIA PADRE MANOEL DA NOBREGA,66,SAMARITA,(13) 3406-1311,-2.396.176,-464.727,24H,0.0,0.0,0.0,0.0,1.0,0.0,NAO
PENITENCIARIA II DE SAO VICENTE,ESTADUAL,11348910,RODOVIA PADRE MANOEL DA NOBREGA,282,SAMARITA,(13) 3565-3600,-2.392.884,-4.646.753,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
MAXIMA DROGARIA SV,MUNICIPAL,11345400,PIASSABUCU,15,SAMARITA,13 07354102,-239.900.362.422,-464.742.171.764,MANHA-TARDE-NOITE,,,,,1.0,0.0,NAO
CASA VILA DE SAO VICENTE,MUNICIPAL,11346300,PADRE MANOEL DA NOBREGA SP 55,S/N,SAMARITA,13 34063635,-239.617.836.699,-464.738.363.028,24H,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ODONTO TEDESCO SAO VICENTE,MUNICIPAL,11390000,AV ANTONIO EMMERICH,110,VILA CASCATINHA,(13) 3022-4187,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
EUROFINS CLINICAL DIAGNOSTICS SAO VICENTE,MUNICIPAL,11390001,ANTONIO EMMERICK,245,VILA CASCATINHA,13 32341056,-239.623.649,-463.795.083,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
AMB IRMA DOLORES SERV APOIO PSICOSSOCIAL S VICENTE,MUNICIPAL,11390000,AV ANTONIO EMERICH,94,VILA CASCATINHA,1335690150,-23.963.526,-46.381.315,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIANA MARQUES BORRALHO SAO VICENTE,MUNICIPAL,11370100,AVENIDA MOTTA LIMA,10,VILA CASCATINHA,,-23.961.488,-4.637.868,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CLINICA ODONTOLOGICA ODONTOYOU SS LTDA SAO VICENTE,MUNICIPAL,11390000,AVENIDA ANTONIO EMMERICK,358,VILA CASCATINHA,13 33268915,-239.623.649,-463.795.083,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UVZ UNIDADE DE VIGILANCIA EM ZOONOSES SV,MUNICIPAL,11390001,AV ANTONIO EMERICK,750,VILA CASCATINHA,34639373,-239.598.201.502,-463.766.786.456,MANHA-TARDE,,,,,0.0,0.0,SIM
ALMOXARIFADO DA SAUDE SAO VICENTE,MUNICIPAL,11330800,AV PREFEITO JOSE MONTEIRO,111,VILA CASCATINHA,35611545,-239.615.998.412,-463.760.724.664,MANHA-TARDE,,,,,0.0,0.0,NAO
ESF VILA EMA E ESF VILA NOVA SAO VICENTE S VICENTE,MUNICIPAL,11345310,RIA PADRE ANDRE DE SOVERAL,240,VILA EMA,1335664219,-239.925.651.432,-464.914.155.006,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE VILA MARGARIDA SAO VICENTE,MUNICIPAL,11330570,RUA POLYDORIO DE OLIVEIRA BITTENCOURT,299,VILA MARGARIDA,1334632324,-23.967.141,-46.401.743,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
ESF SAQUARE SAO VICENTE,MUNICIPAL,11330710,RUA DO MEIO,S/N,VILA MARGARIDA,1334640550,-23.971.338,-46.409.836,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CAPS II DOMINGOS STAMATO SAO VICENTE,MUNICIPAL,11330570,RUA POLYDORO DE OLIVEIRA BITTENCOURT,299,VILA MARGARIDA,(13)34644450,-239.678.721,-464.029.399,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CAPS AD II SAO VICENTE,MUNICIPAL,11330570,R POLIDORO DE OLIVEIRA BITENCOURT,299,VILA MARGARIDA,34639557,-23.963.563,-46.381.299,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO MEDICO DE ESPECIALIDADES INFANTIS SAO VICENTE,MUNICIPAL,11330570,RUA DR POLYDORO OLIVEIRA BITTENCOURT,299,VILA MARGARIDA,1334650900,-23.966.935,-46.401.421,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
INOVACAO SERVICOS TECNICOS EM RADIOLOGIA LTDA EPP,MUNICIPAL,11335000,RUA ERNESTO INTRIERI,65,VILA MARGARIDA,13-97713231,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
UNIDADE DE SAUDE DO ADOLESCENTE SAO VICENTE,MUNICIPAL,11330570,RUA POLYDORO DE OLIVEIRA BITTENCOURT,299,VILA MARGARIDA,1334650900,-2.396.695,-46.401.491,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE BASICA DE SAUDE CENTRAL SAO VICENTE,MUNICIPAL,11390001,AV ANTONIO EMMERICH,509,VILA MELO,(13)35690300,-2.396.114,-46.378.231,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
HOSPITAL ANA COSTA SAO VICENTE,MUNICIPAL,11330800,AV MARECHAL CANDIDO MARIANO RONDON,155,VILA NOSSA DO AMPARO,(13) 3579-1122,-239.627.192,-463.877.297,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CENTRO DE AT ESP A SAUDE DA PESSOA COM DEF REABILITAR I SV,MUNICIPAL,11380090,AV MINAS GERAIS ESQUINA RUA COSTA REGO,19,VILA SAO JORGE,(13)35690152,-239.560.701.528,-463.691.711.426,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CAPS III MATER SAO VICENTE,MUNICIPAL,11380140,AV MINAS GERAIS ESQUINA RUA COSTA REGO,19,VILA SAO JORGE,1334687057/34671413,-23.956.025,-46.369.193,24H,0.0,0.0,0.0,0.0,1.0,0.0,SIM
HOSPITAL DO VICENTINO,MUNICIPAL,11380090,AV MINAS GERAIS,19,VILA SAO JORGE,1335630600,-23.964.285,-46.387.294,24H,1.0,0.0,0.0,1.0,1.0,1.0,SIM
ODONTOKER SAO VICENTE,MUNICIPAL,11380001,AV ANTONIO EMMERICH,1748,VILA SAO JORGE,,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CAD II CENTRO DE APOIO E DIAGNOSTICO SAO VICENTE,MUNICIPAL,11380140,AV MINAS GERAIS ESQUINA RUA COSTA REGO,19,VILA SAO JORGE,1335694940,-23.956.136.334,-463.692.784.309,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
CATO CENTRO DE ATENDIMENTO EM TRAUMATOLOGIA E ORTOPEDIA,MUNICIPAL,11380140,AV MINAS GERAIS ESQUINA RUA COSTA REGO,19,VILA SAO JORGE,(13) 35690141,-239.000.575.145,-463.787.983.388,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
FARMA CONDE FILIAL 458 SV,MUNICIPAL,11390000,ANTONIO EMMERICH,260,VILA SAO JORGE,12 39324721,-239.626.660.438,-46.379.878.521,MANHA-TARDE-NOITE,,,,,1.0,0.0,NAO
DROGARIA NOVA SAO JORGE SV,MUNICIPAL,11370000,ANTONIO EMMERICK,830,VILA SAO JORGE,13 38770177,-239.611.071.792,-46.374.771.595,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ALIVIARTE SAO VICENTE,MUNICIPAL,11370000,AVENIDA ANTONIO EMMERICK,1000,VILA SAO JOSE,38780550,-239.579.315.561,-463.756.677.322,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINIMEDI CLINICAS MEDICAS INTEGRADAS LTDA SAO VICENTE,MUNICIPAL,11390100,AV MARECHAL DEODORO,581,VILA VALENCA,(13)34688465,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ULYSSES GIOVANNINI SAO VICENTE,MUNICIPAL,11330000,AV PREFEITO JOSE MONTEIRO,842,VILA VALENCA,(13)34692358,-239.652.614.511,-463.707.513.322,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LUIZ AUGUSTO DE CARVALHO IERVOLINO SAO VICENTE,MUNICIPAL,11390100,AV MAL DEODORO,581,VILA VALENCA,(13)34687661,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIA IOLI PINFARI IERVOLINO SAO VICENTE,MUNICIPAL,11390100,AV MAL DEODORO,581,VILA VALENCA,(13)34687661,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CIONEIA SICUTI SAO VICENTE,MUNICIPAL,11390001,AV ANTONIO EMMERICK,358,VILA VALENCA,34688101,-239.621.952.536,-463.791.132.322,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARCELA FERNANDA BIANCO SAO VICENTE,MUNICIPAL,11390140,RUA DOM LARA,850,VILA VALENCA,33298355,-239.630.799,-463.790.219,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LOURDES REGINA SALGUEIRO CASTRO SAO VICENTE,MUNICIPAL,11320000,AV MAL DEODORO,737,VILA VALENCA,(13) 34694578,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLAUDIA BEVILACQUA,MUNICIPAL,11390001,AVENIDA ANTONIO EMERICH,292,VILA VALENCA,(13)34693697,-23.962.567,-46.379.666,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
SELMA REGINA GAMBA DE OLIVEIRA SAO VICENTE,MUNICIPAL,11310400,AV PREFEITO JOSE MONTEIRO,110,VILA VALENCA,(13)30132156,-23.961.694,-46.376.349,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
HIGIA NEURO PSIQUIATRIA SAO VICENTE,MUNICIPAL,11390140,DON LARA,224,VILA VALENCA,13 33955253,-239.630.778.162,-463.790.524.006,MANHA,0.0,0.0,0.0,0.0,0.0,0.0,NAO
HOPE FISIO SAO VICENTE,MUNICIPAL,11390100,AVENIDA MARECHAL DEODORO,197,VILA VALENCA,13996625074,-239.656.254,-463.777.637,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
AFIP SAO VICENTE,MUNICIPAL,11310420,AV MINAS GERAIS,19,VILA VOTURUA,1335686015,-239.575.114.242,-463.698.014.617,24H,0.0,0.0,0.0,0.0,0.0,0.0,SIM
AMBULATORIO DA TERCEIRA IDADE SAO VICENTE,MUNICIPAL,11380140,R PRACA VITORIA DA CONQUISTA,S/N,VILA VOTURUA,(13)34677020,-23.961.499,-46.370.482,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
UNIDADE BASICA DE SAUDE PRACA VITORIA SAO VICENTE,MUNICIPAL,11380410,PRACA VITORIA DA CONQUISTA,S/N,VILA VOTURUA,1335611042,-23.961.950.341,-463.704.532.385,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CAFARNAHUN SAO VICENTE,MUNICIPAL,11380420,JUIZ DE FORA,238,VILA VOTURUA,11 37059450,-239.621.146,-463.679.565,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
GUILHERME AUGUSTO BRAGA SILVA SAO VICENTE,MUNICIPAL,11390001,AV ANTONIO EMERICH,1018,VL CASCATINHA,(13)35619043,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SAMU 192 SAO VICENTE,MUNICIPAL,11355230,PRACA DA IMIGRACAO JAPONESA,S/N,VL NOSSA SRA DE FATI,(13)34637876,-23.950.607,-46.406.641,24H,,,,,1.0,0.0,SIM
DENIZE RODRIGUES TEIXEIRA CASANOVA SAO VICENTE,MUNICIPAL,11380000,AV PREFEITO JOSE MONTEIRO,924,VL VALENCA,(13)34686664,-239.659.650.882,-463.706.356.287,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
